//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	80	4111	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Storm Crow Armor Excelent
1000	1001	90	4111	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Storm Crow Armor Gaion
1000	1002	90	4111	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Storm Crow Armor Muren
1010	1010	80	5135	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Storm Crow Gloves Excelent
1010	1011	90	5135	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Storm Crow Gloves Muren
1020	1020	80	4623	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Storm Crow Pants Excelent
1020	1021	90	4623	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Storm Crow Pants Gaion
1020	1022	90	4623	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Storm Crow Pants Muren
1030	1030	80	5647	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Storm Crow Boots Excelent
1030	1031	90	5647	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Storm Crow Boots Gaion
1040	1040	82	4116	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Thunder Hawk Armor Excelent
1050	1050	82	5140	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Thunder Hawk Gloves Excelent
1060	1060	82	4628	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Thunder Hawk Pants Excelent
1070	1070	82	5652	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Thunder Hawk Boots Excelent
1080	1080	84	4119	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Hurricane Armor Excelent
1090	1090	84	5143	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Hurricane Gloves Excelent
1100	1100	84	4631	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Hurricane Pants Excelent
1110	1110	84	5655	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Hurricane Boots Excelent
1120	1120	90	4128	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Volcano Armor Excelent
1130	1130	90	5152	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Volcano Gloves Excelent
1140	1140	90	4640	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Volcano Pants Excelent
1150	1150	90	5664	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Volcano Boots Excelent
1160	1160	86	4133	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Valiant Armor Excelent
1170	1170	86	5157	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Valiant Gloves Excelent
1180	1180	86	4645	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Valiant Pants Excelent
1190	1190	86	5669	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Valiant Boots Excelent
1200	1200	100	4143	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Phantom Armor Excelent
1210	1210	100	5167	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Phantom  Gloves Excelent
1220	1220	100	4655	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Phantom  Pants Excelent
1230	1230	100	5679	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Phantom Boots Excelent
1240	1240	100	4144	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Destroy Armor Excelent
1250	1250	100	5168	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Destroy Gloves Excelent
1260	1260	100	4656	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Destroy Pants Excelent
1270	1270	100	5680	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Destroy Boots Excelent
1280	1280	76	3609	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Mask Excelent
1290	1290	76	4121	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Armor Excelent
1300	1300	76	5145	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Gloves Excelent
1310	1310	76	4633	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Pants Excelent
1320	1320	76	5657	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Boots Excelent
1330	1330	80	3610	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Adamantine Mask Excelent
1330	1331	90	3610	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Adamantine Mask Agnis
1340	1340	80	4122	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Adamantine Armor Excelent
1340	1341	90	4122	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Adamantine Armor Agnis
1350	1350	80	4634	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Adamantine Pants Excelent
1350	1351	90	4634	15	0	1	7	63	5	0	0	255	255	255	255	255	255	0	// Adamantine Pants Agnis
1350	1352	90	4634	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Adamantine Pants Broys
1360	1360	80	5146	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Adamantine Gloves Excelent
1360	1361	90	5146	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Adamantine Gloves Broys
1370	1370	80	5658	15	0	1	7	63	0	0	0	255	255	255	255	255	255	0	// Adamantine Boots Excelent
1370	1371	90	5658	15	0	1	7	63	10	0	0	255	255	255	255	255	255	0	// Adamantine Boots Broys
